"species","commonname"
"Pinus cernua",""
"Pinus clausa","sand pine;scrub pine;spruce pine"
"Pinus contorta","contortatall; Beach Pine; Lodgepole Pine; vanlig contortatall; Draaiden; strandtall; Contorta pine; Lodgepole pine; Tamarack pine; Klit-fyr; Klit-fyr (varietet); Brednålet klit-fyr; vrifuru; Beach Pine; Lodgepole Pine; Murrayanaklit-fyr; CONTORTATALL; Beach Pine; Lodgepole pine; Tamarack pine; pino, pino de San Pedro Mártir; Сосна; Klit-Fyr; Vrifuru; pino; lodgepole pine;scrub pine;shore pine;tamarack pine; klit-fyr; lodgepole pine; Rocky Mountain lodgepole pine; pin tordu latifolié | Rocky Mountain lodgepole pine | black pine | interior lodgepole pine | pin du Yellowstone | pin lodgepole | tall lodgepole pine; pin tordu du Yukon | Yukon lodgepole pine"
"Pinus coulteri","pino, pino de brea, pino de piña, pino de piña grande, pino piña; pino piña, pino, pino de brea, pino de piña, pino de piña grande, pino piña; pines; tracheophytes; plants"
"Pinus cubensis",""
"Pinus dalatensis","Сосна"
"Pinus densata","高山松"
"Pinus densiflora","アカマツ; ウツクシマツ; タギョウショウ; 소나무; japansk tall; JAPANSK TALL; Сосна густоцветная; Japanese Pine; Akamatsu; Japanese red pine; So-na-mu; 금강소나무; 만주곰솔, 소나무; 남복송; 처진소나무; 여복송; 중곰솔; 赤松"
"Pinus devoniana","mochcotaj, ocote, ocote blanco, ocote escobetón, ocote gretado, pino, pino blanco, pino cantaj, pino escobetón, pino lacio, pino michoacana, pino prieto, pino real, pucuri, tsihuirén; Pukur tepajko, Yag-guier, Yaquet, mailteh, mocochtáh, Pino lacio, Ocote piña grande, mochcotaj, ocote, ocote blanco, ocote escobetón, ocote gretado, pino, pino blanco, pino cantaj, pino escobetón, pino lacio, pino michoacana, pino prieto, pino real, pucuri, tsihuirén; ocote, mochcotaj, ocote, ocote blanco, ocote escobetón, ocote gretado, pino, pino blanco, pino cantaj, pino escobetón, pino lacio, pino michoacana, pino prieto, pino real, pucuri, tsihuirén; pino, mochcotaj, ocote, ocote blanco, ocote escobetón, ocote gretado, pino, pino blanco, pino cantaj, pino escobetón, pino lacio, pino michoacana, pino prieto, pino real, pucuri, tsihuirén; pino; ocote; ya yeri, pino, ocotal, ocote, palo de ocote, yagiyeye, ocote de piñas grandes, udxs sin, ya gui ech, ütch tsiinn, pooptein, ye yeré, ya turia rria, mochcotaj, ocote, ocote blanco, ocote escobetón, ocote gretado, pino, pino blanco, pino cantaj, pino escobetón, pino lacio, pino michoacana, pino prieto, pino real, pucuri, tsihuirén; pino lacio, mochcotaj, ocote, ocote blanco, ocote escobetón, ocote gretado, pino, pino blanco, pino cantaj, pino escobetón, pino lacio, pino michoacana, pino prieto, pino real, pucuri, tsihuirén; ocote, pino lacio, mochcotaj, ocote, ocote blanco, ocote escobetón, ocote gretado, pino, pino blanco, pino cantaj, pino escobetón, pino lacio, pino michoacana, pino prieto, pino real, pucuri, tsihuirén; g'gir juk (pino de hoja larga), mochcotaj, ocote, ocote blanco, ocote escobetón, ocote gretado, pino, pino blanco, pino cantaj, pino escobetón, pino lacio, pino michoacana, pino prieto, pino real, pucuri, tsihuirén; pino blanco, ocote, pino lacio, pino escobetón, tsihuirén, pucuri, ocote escobetón, pino, pino cantaj, mochcotaj, pino michoacana, tsihirén, pino real, mochcotaj, ocote, ocote blanco, ocote escobetón, ocote gretado, pino, pino blanco, pino cantaj, pino escobetón, pino lacio, pino michoacana, pino prieto, pino real, pucuri, tsihuirén; pino lacio (Mich, Nay); tsihirén (Mich), mochcotaj, ocote, ocote blanco, ocote escobetón, ocote gretado, pino, pino blanco, pino cantaj, pino escobetón, pino lacio, pino michoacana, pino prieto, pino real, pucuri, tsihuirén; g'gir juk, mochcotaj, ocote, ocote blanco, ocote escobetón, ocote gretado, pino, pino blanco, pino cantaj, pino escobetón, pino lacio, pino michoacana, pino prieto, pino real, pucuri, tsihuirén; pino de cono grande, mochcotaj, ocote, ocote blanco, ocote escobetón, ocote gretado, pino, pino blanco, pino cantaj, pino escobetón, pino lacio, pino michoacana, pino prieto, pino real, pucuri, tsihuirén; pino blanco, ocote, pino, pino escobetón, pino cantaj, mochcotaj, pino michoacana, pino lacio, tsihuirén, pucuri, ocote escobetón, tsihirén, pino real, mochcotaj, ocote, ocote blanco, ocote escobetón, ocote gretado, pino, pino blanco, pino cantaj, pino escobetón, pino lacio, pino michoacana, pino prieto, pino real, pucuri, tsihuirén; zopilote, mochcotaj, ocote, ocote blanco, ocote escobetón, ocote gretado, pino, pino blanco, pino cantaj, pino escobetón, pino lacio, pino michoacana, pino prieto, pino real, pucuri, tsihuirén"
"Pinus douglasiana","ocote, pinabete, pino, pino albellano, pino amarillo, pino avellano, pino blanco, pino canis, pino colorado, pino douglasiana, pino hayarín, pino lacio, pino lacio amarillo, pino real; Tuyutza, Yag-guier, Pino albellano, Pino real, Pino lacio, ocote, pinabete, pino, pino albellano, pino amarillo, pino avellano, pino blanco, pino canis, pino colorado, pino douglasiana, pino hayarín, pino lacio, pino lacio amarillo, pino real; ocote, ocote, pinabete, pino, pino albellano, pino amarillo, pino avellano, pino blanco, pino canis, pino colorado, pino douglasiana, pino hayarín, pino lacio, pino lacio amarillo, pino real; ocotal, yag yech, ocote, pinabete, pino, pino albellano, pino amarillo, pino avellano, pino blanco, pino canis, pino colorado, pino douglasiana, pino hayarín, pino lacio, pino lacio amarillo, pino real; pino, ocote, pino douglasiana, pino blanco, pino lacio, pino cantsímbu, pino canis, pino colorado, canish, pino albellano, pino lacio amarillo, pino hayarín, ocote, pinabete, pino, pino albellano, pino amarillo, pino avellano, pino blanco, pino canis, pino colorado, pino douglasiana, pino hayarín, pino lacio, pino lacio amarillo, pino real; pino blanco, ocote, pinabete, pino, pino albellano, pino amarillo, pino avellano, pino blanco, pino canis, pino colorado, pino douglasiana, pino hayarín, pino lacio, pino lacio amarillo, pino real; canish, ocote, pinabete, pino, pino albellano, pino amarillo, pino avellano, pino blanco, pino canis, pino colorado, pino douglasiana, pino hayarín, pino lacio, pino lacio amarillo, pino real; ocote, pino, pino albellano, pino blanco, pino canis, pino colorado, pino douglasiana, pino hayarín, pino lacio, pino lacio amarillo; pino, ocote, pinabete, pino, pino albellano, pino amarillo, pino avellano, pino blanco, pino canis, pino colorado, pino douglasiana, pino hayarín, pino lacio, pino lacio amarillo, pino real"
"Pinus durangensis","ocote, pino, pino blanco, pino cenizo, pino colorado, pino coyote, pino de seis hojas, pino duranguensis, pino real, pino real de seis hojas, pino tarasco; Pino amarillo, Pino real, Pino triste, ocote, pino, pino blanco, pino cenizo, pino colorado, pino coyote, pino de seis hojas, pino duranguensis, pino real, pino real de seis hojas, pino tarasco; pino, ocote, pino, pino blanco, pino cenizo, pino colorado, pino coyote, pino de seis hojas, pino duranguensis, pino real, pino real de seis hojas, pino tarasco; pino real, ocote, pino, pino blanco, pino cenizo, pino colorado, pino coyote, pino de seis hojas, pino duranguensis, pino real, pino real de seis hojas, pino tarasco; pino lacio, ocote, pino, pino blanco, pino cenizo, pino colorado, pino coyote, pino de seis hojas, pino duranguensis, pino real, pino real de seis hojas, pino tarasco; pino coyote, ocote, pino, pino blanco, pino cenizo, pino colorado, pino coyote, pino de seis hojas, pino duranguensis, pino real, pino real de seis hojas, pino tarasco; la pina, pino, pino real, ocote, pino, pino blanco, pino cenizo, pino colorado, pino coyote, pino de seis hojas, pino duranguensis, pino real, pino real de seis hojas, pino tarasco; ocote, pino, ocote, pino, pino blanco, pino cenizo, pino colorado, pino coyote, pino de seis hojas, pino duranguensis, pino real, pino real de seis hojas, pino tarasco"
"Pinus echinata","Arkansas pine;shortleaf pine;shortleaf yellow pine;shortstraw pine;southern yellow pine;yellow pine; Virginia pine; Scrub pine; PINE, SHORTLEAF; 萌芽松; Short Leaf Pine; pines; tracheophytes; plants"
"Pinus edulis","Two needle pinyon pine; pino; Colorado pinyon;nut pine;pi?on pine;pinyon;pinyon pine;two-leaf pinyon;two-needle pinyon;twoneedle pinyon;pi??n de Colorado"
"Pinus elliottii","Slash Pine; Slash pine; 濕地松; スラッシュマツ"
"Pinus engelmannii","pino, ocote, ocote chino, pino, pino Arizona de hoja larga, pino apache, pino de barbas largas, pino engelmany, pino garabatillo, pino lacio, pino ocote, pino prieto, pino real, pino real de barbas, pino real de barbas largas; ocote, ocote chino, pino, pino Arizona de hoja larga, pino apache, pino de barbas largas, pino engelmany, pino garabatillo, pino lacio, pino ocote, pino prieto, pino real, pino real de barbas, pino real de barbas largas; Pino blanco, Pino albacarrote, Pino real, Okoko, ocote, ocote chino, pino, pino Arizona de hoja larga, pino apache, pino de barbas largas, pino engelmany, pino garabatillo, pino lacio, pino ocote, pino prieto, pino real, pino real de barbas, pino real de barbas largas; pino real, ocote, ocote chino, pino, pino Arizona de hoja larga, pino apache, pino de barbas largas, pino engelmany, pino garabatillo, pino lacio, pino ocote, pino prieto, pino real, pino real de barbas, pino real de barbas largas; Pino real, ocote, ocote chino, pino, pino Arizona de hoja larga, pino apache, pino de barbas largas, pino engelmany, pino garabatillo, pino lacio, pino ocote, pino prieto, pino real, pino real de barbas, pino real de barbas largas; Arizona longleaf pine; oko'sare (pino con hoja larga), pino, pino real, ocote, ocote chino, pino, pino Arizona de hoja larga, pino apache, pino de barbas largas, pino engelmany, pino garabatillo, pino lacio, pino ocote, pino prieto, pino real, pino real de barbas, pino real de barbas largas; pino lacio; pino real, ocote, ocote chino, pino, pino Arizona de hoja larga, pino apache, pino de barbas largas, pino engelmany, pino garabatillo, pino lacio, pino ocote, pino prieto, pino real, pino real de barbas, pino real de barbas largas; rapachili, ocote, ocote chino, pino, pino Arizona de hoja larga, pino apache, pino de barbas largas, pino engelmany, pino garabatillo, pino lacio, pino ocote, pino prieto, pino real, pino real de barbas, pino real de barbas largas; Apache Pine"
"Pinus fenzeliana",""
"Pinus flexilis","MJUKTALL; Limber pine; Rocky Mountain white pine; pino, pino enano, pino prieto, pino torcido; pino, pino huiyoco, pino nayar, pino torcido; pino, pino, pino huiyoco, pino nayar, pino torcido; limber pine;Rocky Mountain white pine;pino torcido; limber pine; limber pine | pin flexible | pin blanc de l'Ouest | Rocky Mountain white pine; 柔枝松; Limber Pine; pines; tracheophytes; plants"
"Pinus gerardiana","Сосна Жерарда; 西藏白皮松"
"Pinus glabra","bottom white pine;cedar pine;spruce pine;Walter pine; Poor pine; Spruce pine"
"Pinus greggii","Latskan, Pino, Pino griego, ocote, ocote chino, palo prieto, pino, pino chino, pino colorado, pino garabatillo, pino greggii, pino gregii, pino ocote, pino prieto, pino real; ocote, ocote chino, palo prieto, pino, pino chino, pino colorado, pino garabatillo, pino greggii, pino gregii, pino ocote, pino prieto, pino real; pino, ocote, ocote chino, palo prieto, pino, pino chino, pino colorado, pino garabatillo, pino greggii, pino gregii, pino ocote, pino prieto, pino real; latskan, ocote, ocote chino, palo prieto, pino, pino chino, pino colorado, pino garabatillo, pino greggii, pino gregii, pino ocote, pino prieto, pino real; pino chino; pino prieto, ocote, ocote chino, palo prieto, pino, pino chino, pino colorado, pino garabatillo, pino greggii, pino gregii, pino ocote, pino prieto, pino real; Pino candelabro; pino gregii, ocote, ocote chino, palo prieto, pino, pino chino, pino colorado, pino garabatillo, pino greggii, pino gregii, pino ocote, pino prieto, pino real"
"Pinus halepensis","Aleppo pine; Aleppo Pine; Сосновые | Сосна | Сосна алеппская; Сосна алеппская | Сосна алепская | Сосна иерусалимская | Сосновые сем. | Сосновые пор. | Хвойные класс | Пинопсиды класс | Голосеменные отдел; ALEPPOTALL; Pino de aleppo; pino de aleppo; Pi; Pi campanar; Сосна; Piño carrasco; Pino carrasco; pino halepo"
"Pinus hartwegii","ocote, ocote blanco, ocote chino, ocote liso, ocote pardo, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino hartwegii, pino ocote, pino rudis, rus; Yàg-guiEr = yàg-dUr, Ocote, Pino, ocote, ocote blanco, ocote chino, ocote liso, ocote pardo, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino hartwegii, pino ocote, pino rudis, rus; Hartweg's pine; Ocote pardo, ocote, ocote blanco, ocote chino, ocote liso, ocote pardo, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino hartwegii, pino ocote, pino rudis, rus; pino chino, ocote, ocote blanco, ocote chino, ocote liso, ocote pardo, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino hartwegii, pino ocote, pino rudis, rus; pino, ma cuú, ocotal, ocote, yag doote, ocote, ocote blanco, ocote chino, ocote liso, ocote pardo, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino hartwegii, pino ocote, pino rudis, rus; ocote, ocote, ocote blanco, ocote chino, ocote liso, ocote pardo, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino hartwegii, pino ocote, pino rudis, rus; ocote, pino, ocote, ocote blanco, ocote chino, ocote liso, ocote pardo, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino hartwegii, pino ocote, pino rudis, rus; chamaite, ocote, ocote blanco, ocote chino, ocote liso, ocote pardo, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino hartwegii, pino ocote, pino rudis, rus; pino; pino, ocote, ocote blanco, ocote chino, ocote liso, ocote pardo, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino hartwegii, pino ocote, pino rudis, rus"
"Pinus heldreichii","Serbian Pine; Bosnian Pine; ORMSKINNSTALL; Heidrich’s pine, Bosnian pine"
"Pinus henryi",""
"Pinus herrerae","Pino trompillo, Pino chino, ocote, pino, pino chino; pino, ocote, pino, pino chino; ocote, pino, pino chino; pino chino, pino, ocote, ocote, pino, pino chino; pino chino, ocote, pino, pino chino; huiyoca, pino, ocote, pino, pino chino; ocote, ocote, pino, pino chino; pino chino, ocote, ocote, pino, pino chino"
"Pinus hwangshanensis","Hwangshan Pine"
"Pinus jaliscana","pino de Jalisco"
"Pinus jeffreyi","Jeffrey Pine; Jeffrey's Pine; pino, pino jeffrey, pino negro, pino ponderosa; Jeffrey pine, Pino blanco, pino, pino jeffrey, pino negro, pino ponderosa; ジェフリーマツ; pino ponderosa, pino, pino jeffrey, pino negro, pino ponderosa; Pinus jeffreyi"
"Pinus kesiya","ベンケットマツ; Сосна; 思茅松"
"Pinus koraiensis","チョウセンゴヨウ; Сосна корейская, Кедр корейский; チョウセンマツ; Korean Nut Pine; Hai Sung, Haisung, Korean Pine, Tyosen-Goyo; 잣나무; KOREATALL; Jat-na-mu"
"Pinus krempfii","Сосна Кремпфа"
"Pinus lambertiana","Sugar pine; ocote, pino, pino de azúcar, pino ocote; pino de azúcar, ocote, pino, pino de azúcar, pino ocote"
"Pinus latteri",""
"Pinus lawsonii","hortiguillo, ocote, ocote chino, ocotl (Náhuatl), ortiguilla, pino, pino cenizo, pino chino, pino ortiguillo; Tu yutza quishi, Ocote pino, Pápalo, Ortiguillo, Pino amarillo, hortiguillo, ocote, ocote chino, ocotl (Náhuatl), ortiguilla, pino, pino cenizo, pino chino, pino ortiguillo; pino, hortiguillo, ocote, ocote chino, ocotl (Náhuatl), ortiguilla, pino, pino cenizo, pino chino, pino ortiguillo; tse' en, ocotal, pino recinero, ocote, eye shi sho, hortiguillo, ocote, ocote chino, ocotl (Náhuatl), ortiguilla, pino, pino cenizo, pino chino, pino ortiguillo; ocote chino, pino chino, ocote, hortiguillo, pino ortiguillo, ortiguilla, pino, pino cenizo, abasbabi, hortiguillo, ocote, ocote chino, ocotl (Náhuatl), ortiguilla, pino, pino cenizo, pino chino, pino ortiguillo; ocote, hortiguillo, ocote, ocote chino, ocotl (Náhuatl), ortiguilla, pino, pino cenizo, pino chino, pino ortiguillo; hortiguillo, hortiguillo, ocote, ocote chino, ocotl (Náhuatl), ortiguilla, pino, pino cenizo, pino chino, pino ortiguillo; ocote, pino (Oax); pino ortiguillo (Mich), hortiguillo, ocote, ocote chino, ocotl (Náhuatl), ortiguilla, pino, pino cenizo, pino chino, pino ortiguillo; abasbabi, hortiguillo, ocote, ocote chino, ocotl (Náhuatl), ortiguilla, pino, pino cenizo, pino chino, pino ortiguillo"
"Pinus leiophylla","manzanita, ocote, ocote blanco, ocote chino, ocote negro, ocotl (Náhuatl), palo otomite, pino, pino blanco, pino calocote, pino chamaite, pino chamonque, pino chico, pino chino, pino coyote, pino negro, pino otomite, pino prieto, pino real, pino saguaco, sawá (Tarahumara); manzanita, ocote, pino, pino chamonque, pino chimonque, pino chino, pino de Chihuahua, pino negro, pino prieto, pino saguaco, sahuaca (Tarahumara); Púkuri, Pukur urush, Pukuri urush, Puruk urux, Pukur urush (pino chino en Tarasco), Pukur urux, Xolocotzi, Tziurini, Tu shatu, Yag-guier, Pino, Amarillo ocote, Bi'juk, Pino chino, Ocote prieto, pino de hoja corta, P'ukuri, P'ukuri (pino chino), Pino prieto, Pino real, Ocote chino, Ocote blanco, manzanita, ocote, ocote blanco, ocote chino, ocote negro, ocotl (Náhuatl), palo otomite, pino, pino blanco, pino calocote, pino chamaite, pino chamonque, pino chico, pino chino, pino coyote, pino negro, pino otomite, pino prieto, pino real, pino saguaco, sawá (Tarahumara); Sahuaco, Pino prieto, Pino chino, manzanita, ocote, pino, pino chamonque, pino chimonque, pino chino, pino de Chihuahua, pino negro, pino prieto, pino saguaco, sahuaca (Tarahumara); ocote negro, manzanita, ocote, ocote blanco, ocote chino, ocote negro, ocotl (Náhuatl), palo otomite, pino, pino blanco, pino calocote, pino chamaite, pino chamonque, pino chico, pino chino, pino coyote, pino negro, pino otomite, pino prieto, pino real, pino saguaco, sawá (Tarahumara); manzanita, manzanita, ocote, pino, pino chamonque, pino chimonque, pino chino, pino de Chihuahua, pino negro, pino prieto, pino saguaco, sahuaca (Tarahumara); pino chino, manzanita, ocote, pino, pino chamonque, pino chimonque, pino chino, pino de Chihuahua, pino negro, pino prieto, pino saguaco, sahuaca (Tarahumara); pino; pino chino, manzanita, ocote, ocote blanco, ocote chino, ocote negro, ocotl (Náhuatl), palo otomite, pino, pino blanco, pino calocote, pino chamaite, pino chamonque, pino chico, pino chino, pino coyote, pino negro, pino otomite, pino prieto, pino real, pino saguaco, sawá (Tarahumara); pino, manzanita, ocote, pino, pino chamonque, pino chimonque, pino chino, pino de Chihuahua, pino negro, pino prieto, pino saguaco, sahuaca (Tarahumara); pino, tseen, ocotal semillero, ya yere, ocote, axh chin, a shdzin, manzanita, ocote, ocote blanco, ocote chino, ocote negro, ocotl (Náhuatl), palo otomite, pino, pino blanco, pino calocote, pino chamaite, pino chamonque, pino chico, pino chino, pino coyote, pino negro, pino otomite, pino prieto, pino real, pino saguaco, sawá (Tarahumara); pino prieto, manzanita, ocote, ocote blanco, ocote chino, ocote negro, ocotl (Náhuatl), palo otomite, pino, pino blanco, pino calocote, pino chamaite, pino chamonque, pino chico, pino chino, pino coyote, pino negro, pino otomite, pino prieto, pino real, pino saguaco, sawá (Tarahumara); ocote, manzanita, ocote, ocote blanco, ocote chino, ocote negro, ocotl (Náhuatl), palo otomite, pino, pino blanco, pino calocote, pino chamaite, pino chamonque, pino chico, pino chino, pino coyote, pino negro, pino otomite, pino prieto, pino real, pino saguaco, sawá (Tarahumara); manzanita, xalatlaco, sawá, pino otomite, tlacocote, ocote chino, pino chino, palo otomite, pino prieto, pino blanco, ocote negro, pino negro, pino, pino calocote, ocote, pino chamaite, pino chico, pino saguaco, pino chamonque, ocote de ocoshal delgado, manzanita, ocote, ocote blanco, ocote chino, ocote negro, ocotl (Náhuatl), palo otomite, pino, pino blanco, pino calocote, pino chamaite, pino chamonque, pino chico, pino chino, pino coyote, pino negro, pino otomite, pino prieto, pino real, pino saguaco, sawá (Tarahumara); ocote, pino, pino calocote, pino chamaite, pino chico, pino chino, pino prieto, manzanita, ocote, ocote blanco, ocote chino, ocote negro, ocotl (Náhuatl), palo otomite, pino, pino blanco, pino calocote, pino chamaite, pino chamonque, pino chico, pino chino, pino coyote, pino negro, pino otomite, pino prieto, pino real, pino saguaco, sawá (Tarahumara); Chihuahuan pine, yellow pine; pino chimonque, manzanita, ocote, pino, pino chamonque, pino chimonque, pino chino, pino de Chihuahua, pino negro, pino prieto, pino saguaco, sahuaca (Tarahumara); pino, pino chino, pino prieto, manzanita, ocote, pino, pino chamonque, pino chimonque, pino chino, pino de Chihuahua, pino negro, pino prieto, pino saguaco, sahuaca (Tarahumara); bi'juk (pino de hoja corta), pino, pino prieto, quichirin, manzanita, ocote, ocote blanco, ocote chino, ocote negro, ocotl (Náhuatl), palo otomite, pino, pino blanco, pino calocote, pino chamaite, pino chamonque, pino chico, pino chino, pino coyote, pino negro, pino otomite, pino prieto, pino real, pino saguaco, sawá (Tarahumara); bijik muk juk (pima); pino chino, manzanita, ocote, pino, pino chamonque, pino chimonque, pino chino, pino de Chihuahua, pino negro, pino prieto, pino saguaco, sahuaca (Tarahumara); ocote chino, manzanita, ocote, ocote blanco, ocote chino, ocote negro, ocotl (Náhuatl), palo otomite, pino, pino blanco, pino calocote, pino chamaite, pino chamonque, pino chico, pino chino, pino coyote, pino negro, pino otomite, pino prieto, pino real, pino saguaco, sawá (Tarahumara); pino prieto, manzanita, ocote, pino, pino chamonque, pino chimonque, pino chino, pino de Chihuahua, pino negro, pino prieto, pino saguaco, sahuaca (Tarahumara); sawaka, manzanita, ocote, pino, pino chamonque, pino chimonque, pino chino, pino de Chihuahua, pino negro, pino prieto, pino saguaco, sahuaca (Tarahumara); sawá, manzanita, ocote, ocote blanco, ocote chino, ocote negro, ocotl (Náhuatl), palo otomite, pino, pino blanco, pino calocote, pino chamaite, pino chamonque, pino chico, pino chino, pino coyote, pino negro, pino otomite, pino prieto, pino real, pino saguaco, sawá (Tarahumara); pino chino (Jal, Mich); pino prieto (Dgo); ocote chino (Mex); palo otomite (Hgo); pino (Oax, Chih, Son, Mex); ocote chino, manzanita, ocote, ocote blanco, ocote chino, ocote negro, ocotl (Náhuatl), palo otomite, pino, pino blanco, pino calocote, pino chamaite, pino chamonque, pino chico, pino chino, pino coyote, pino negro, pino otomite, pino prieto, pino real, pino saguaco, sawá (Tarahumara); pukur urux, pukur urush, pukuri urush, pino chino, p'ukuri, prino prieto, manzanita, ocote, ocote blanco, ocote chino, ocote negro, ocotl (Náhuatl), palo otomite, pino, pino blanco, pino calocote, pino chamaite, pino chamonque, pino chico, pino chino, pino coyote, pino negro, pino otomite, pino prieto, pino real, pino saguaco, sawá (Tarahumara)"
"Pinus longaeva","Western bristlecone pine"
"Pinus luchuensis","リュウキュウマツ; 琉球松"
"Pinus lumholtzii","Bubuo, Pino triste, pino de barca caída, Pino amarillo, Pino lacio, huiyoco (Tarahumara), ocote, ocote colorado, ocote de la virgen, pino, pino albacarrote, pino amarillo, pino barba caída, pino chamaite, pino colorado, pino lacio, pino llorón, pino ocote, pino prieto, pino triste, sawá (Tarahumara); pino lacio, huiyoco (Tarahumara), ocote, ocote colorado, ocote de la virgen, pino, pino albacarrote, pino amarillo, pino barba caída, pino chamaite, pino colorado, pino lacio, pino llorón, pino ocote, pino prieto, pino triste, sawá (Tarahumara); huiyoco (Tarahumara), ocote, ocote colorado, ocote de la virgen, pino, pino albacarrote, pino amarillo, pino barba caída, pino chamaite, pino colorado, pino lacio, pino llorón, pino ocote, pino prieto, pino triste, sawá (Tarahumara); pino, huiyoco (Tarahumara), ocote, ocote colorado, ocote de la virgen, pino, pino albacarrote, pino amarillo, pino barba caída, pino chamaite, pino colorado, pino lacio, pino llorón, pino ocote, pino prieto, pino triste, sawá (Tarahumara); pino llorón, huiyoco (Tarahumara), ocote, ocote colorado, ocote de la virgen, pino, pino albacarrote, pino amarillo, pino barba caída, pino chamaite, pino colorado, pino lacio, pino llorón, pino ocote, pino prieto, pino triste, sawá (Tarahumara); pino lacio, pino prieto, pino triste, saw'a (triste), huiyoco (Tarahumara), ocote, ocote colorado, ocote de la virgen, pino, pino albacarrote, pino amarillo, pino barba caída, pino chamaite, pino colorado, pino lacio, pino llorón, pino ocote, pino prieto, pino triste, sawá (Tarahumara); pino albacarrote, huiyoco (Tarahumara), ocote, ocote colorado, ocote de la virgen, pino, pino albacarrote, pino amarillo, pino barba caída, pino chamaite, pino colorado, pino lacio, pino llorón, pino ocote, pino prieto, pino triste, sawá (Tarahumara); pino, pino llorón, huiyoco (Tarahumara), ocote, ocote colorado, ocote de la virgen, pino, pino albacarrote, pino amarillo, pino barba caída, pino chamaite, pino colorado, pino lacio, pino llorón, pino ocote, pino prieto, pino triste, sawá (Tarahumara); pino triste, huiyoco (Tarahumara), ocote, ocote colorado, ocote de la virgen, pino, pino albacarrote, pino amarillo, pino barba caída, pino chamaite, pino colorado, pino lacio, pino llorón, pino ocote, pino prieto, pino triste, sawá (Tarahumara)"
"Pinus luzmariae","pino, pino chino, pino triste; Uam ju'juk (pino amarillo), pino, pino chino, pino triste; pino, pino, pino chino, pino triste; uam ju´juk (pino amarillo), pino, pino chino, pino triste"
"Pinus massoniana","馬尾松; Masson pine; Masson's pine; Chinese red pine"
"Pinus maximartinezii","Piñonero, Pino piñonero, Pino azul, pino, pino azul, piñonero de Zacatecas, piñón, piñón real; pino, pino azul, piñonero de Zacatecas, piñón, piñón real; ocote, pino, pino azul, piñonero de Zacatecas, piñón, piñón real; piñón, pino, pino azul, piñonero de Zacatecas, piñón, piñón real; pino azul, pino, pino azul, piñonero de Zacatecas, piñón, piñón real"
"Pinus maximinoi","cantaj (Tseltal), ocote, pino, pino canis, tzit (Zoque); Rojo encendido ocote, Tokté, Pinabete, cantaj (Tseltal), ocote, pino, pino canis, tzit (Zoque); pino, cantaj (Tseltal), ocote, pino, pino canis, tzit (Zoque); ocote chino, cantaj (Tseltal), ocote, pino, pino canis, tzit (Zoque); pino chino, cantaj (Tseltal), ocote, pino, pino canis, tzit (Zoque); pino, ocote, cantaj, cantaj (Tseltal), ocote, pino, pino canis, tzit (Zoque); pino real, cantaj (Tseltal), ocote, pino, pino canis, tzit (Zoque); ocote, cantaj (Tseltal), ocote, pino, pino canis, tzit (Zoque); pino; ocote; pino canis, cantaj (Tseltal), ocote, pino, pino canis, tzit (Zoque); rojo encendido ocote, cantaj (Tseltal), ocote, pino, pino canis, tzit (Zoque); ocote, pino, cantaj, cantaj (Tseltal), ocote, pino, pino canis, tzit (Zoque)"
"Pinus merkusii","Сосна"
"Pinus monophylla","pino, piñón, piñón simple; Single-leaf pinyon, Silva of north america, Pinyon, pino, piñón, piñón simple; Single-leaf Pinyon; Singleleaf pi±on; Singleleaf pinyon; nut pine;one-leaf pine;singleleaf pinyon;pi??n simple; piñón, pino, piñón, piñón simple; pines; tracheophytes; plants"
